[22:55:57] Page 252/1070 — OCR...
[22:55:58]   Extracted 1 chart(s): chart_p0252_01.png
[22:55:58] Page 253/1070 — OCR...
[22:55:59]   Extracted 1 chart(s): chart_p0253_01.png
[22:55:59] Page 254/1070 — OCR...
[22:56:00]   Extracted 1 chart(s): chart_p0254_01.png
[22:56:00] Page 255/1070 — OCR...
[22:56:02]   Extracted 1 chart(s): chart_p0255_01.png
[22:56:02] Page 256/1070 — OCR...
[22:56:03]   Extracted 1 chart(s): chart_p0256_01.png
[22:56:03] Page 257/1070 — OCR...
[22:56:04]   Extracted 1 chart(s): chart_p0257_01.png
[22:56:04] Page 258/1070 — OCR...
[22:56:05]   Extracted 1 chart(s): chart_p0258_01.png
[22:56:05] Page 259/1070 — OCR...
[22:56:06]   Extracted 1 chart(s): chart_p0259_01.png
[22:56:06] Page 260/1070 — OCR...
[22:56:07]   Extracted 1 chart(s): chart_p0260_01.png
[22:56:07] Writing batch pages 241-260 to notes.md...
[22:56:07]   Saved. Charts so far: 240
[22:56:07] Page 261/1070 — OCR...
[22:56:08]   Extracted 1 chart(s): chart_p0261_01.png
[22:56:08] Page 262/1070 — OCR...
[22:56:09]   Extracted 1 chart(s): chart_p0262_01.png
[22:56:09] Page 263/1070 — OCR...
[22:56:10]   Extracted 1 chart(s): chart_p0263_01.png
[22:56:10] Page 264/1070 — OCR...
[22:56:11]   Extracted 1 chart(s): chart_p0264_01.png
[22:56:11] Page 265/1070 — OCR...
[22:56:13]   Extracted 1 chart(s): chart_p0265_01.png
[22:56:13] Page 266/1070 — OCR...
[22:56:14]   Extracted 1 chart(s): chart_p0266_01.png
[22:56:14] Page 267/1070 — OCR...
[22:56:15]   Extracted 1 chart(s): chart_p0267_01.png
[22:56:15] Page 268/1070 — OCR...
[22:56:17]   Extracted 1 chart(s): chart_p0268_01.png
[22:56:17] Page 269/1070 — OCR...
[22:56:17]   Extracted 1 chart(s): chart_p0269_01.png
[22:56:17] Page 270/1070 — OCR...
[22:56:18]   Extracted 1 chart(s): chart_p0270_01.png
[22:56:18] Page 271/1070 — OCR...
[22:56:18]   Extracted 1 chart(s): chart_p0271_01.png
[22:56:18] Page 272/1070 — OCR...
[22:56:19]   Extracted 1 chart(s): chart_p0272_01.png
[22:56:19] Page 273/1070 — OCR...
[22:56:20]   Extracted 1 chart(s): chart_p0273_01.png
[22:56:20] Page 274/1070 — OCR...
[22:56:21]   Extracted 1 chart(s): chart_p0274_01.png
[22:56:21] Page 275/1070 — OCR...
[22:56:22]   Extracted 1 chart(s): chart_p0275_01.png
[22:56:22] Page 276/1070 — OCR...
[22:56:24]   Extracted 1 chart(s): chart_p0276_01.png
